store_id,year,month,month_index,is_holiday_month,ad_spend,foot_traffic,avg_price,staff_count,store_size_sqft,promo_days,competitors_within_3km,inventory_fill_rate,returns_rate,local_income_index,parking_spaces,store_age_years,monthly_sales
22,2023,1,1,0,19402.31,4405,25.26,38,30410,3,4,0.937,0.0387,121.2,243,9,4976.23
23,2023,1,1,0,13676.48,4013,19.22,37,32335,3,8,0.959,0.0282,92.8,272,9,2728.97
24,2023,1,1,0,13739.92,3886,18.66,40,25722,3,1,0.949,0.033,93.6,218,1,2236.35
25,2023,1,1,0,16727.28,4050,30.62,30,20992,2,1,0.953,0.0445,108.2,177,4,4223.41
26,2023,1,1,0,10772.07,3738,23.81,36,26106,2,2,0.928,0.0403,105.3,210,13,3529.54
27,2023,1,1,0,14158.01,3664,15.67,31,23660,5,6,0.97,0.0411,96.2,177,9,1968.59
28,2023,1,1,0,13421.99,3958,29.93,34,24338,2,2,0.961,0.0414,122.5,191,7,2698.56
29,2023,1,1,0,8747.05,3832,21.99,37,25101,3,3,0.934,0.032,94.4,237,8,2573.5
30,2023,1,1,0,12270.48,3803,19.37,39,26794,4,6,0.933,0.0326,107.9,208,15,2267.64
31,2023,1,1,0,16679.41,3961,24.35,29,21874,3,5,0.977,0.0369,110.2,173,9,3204
32,2023,1,1,0,10876.55,3635,20.86,23,13486,3,5,0.958,0.0457,85.4,126,4,3044.73
33,2023,1,1,0,10776.32,3919,28.2,40,30773,2,4,0.946,0.0391,96.3,254,9,2531.99
34,2023,1,1,0,9539.51,3484,25.88,39,30368,2,1,0.948,0.0357,107.5,242,7,2960.49
35,2023,1,1,0,4155.86,4329,16.61,36,30296,4,2,0.935,0.0293,116.3,254,5,1357.74
36,2023,1,1,0,7695.81,3748,22.34,33,21350,5,2,0.917,0.0385,116.3,196,1,2425.9
37,2023,1,1,0,7359.97,5563,22.17,44,34897,4,3,0.951,0.0373,109.3,291,10,4557.79
38,2023,1,1,0,7787.2,3615,21.82,36,26683,4,6,0.917,0.0435,90.7,228,8,2780.51
39,2023,1,1,0,9735.87,3391,23.04,27,20121,4,1,0.954,0.0331,92.8,161,1,3690.5
40,2023,1,1,0,5218.11,4150,21.8,39,29999,4,3,0.95,0.0387,111.6,267,11,2583.49
1,2023,2,2,0,12561.01,3878,28.11,39,29476,3,1,0.91,0.0333,98.3,263,11,4077.81
2,2023,2,2,0,12848.83,3733,20.3,32,21933,3,3,0.928,0.0371,93.7,171,5,2061.01
3,2023,2,2,0,14128.69,3890,17.76,47,36259,2,1,0.966,0.0412,97.3,285,8,2794.26
4,2023,2,2,0,5746.3,3425,24.97,31,21798,2,2,0.931,0.0374,111.4,174,9,1730.37
5,2023,2,2,0,9396.15,5600,21.14,52,45448,2,2,0.967,0.0298,114.3,389,9,3908.58
6,2023,2,2,0,14617.71,4097,23.91,42,31415,3,3,0.946,0.0508,93.5,251,1,3673.96
7,2023,2,2,0,19003.36,4080,17.56,33,20125,3,1,0.98,0.0383,96.3,179,9,2152.83
8,2023,2,2,0,15454.03,3992,22.63,38,31843,4,6,0.937,0.0389,103.6,264,2,3013.16
9,2023,2,2,0,12884.01,4900,18.91,43,32324,2,2,0.968,0.0376,100.2,251,5,2805.93
10,2023,2,2,0,11667.89,3994,21.15,39,29510,1,5,0.922,0.0272,113.9,249,9,2730.94
11,2023,2,2,0,11811.63,4025,23.82,38,28072,4,2,0.932,0.0404,103.1,231,8,2817.69
12,2023,2,2,0,10085.59,4268,22.34,48,39203,3,3,0.926,0.0362,102.1,325,9,4188.37
13,2023,2,2,0,21406.57,4501,19.18,36,29344,4,5,0.96,0.038,96.9,239,5,4222.64
14,2023,2,2,0,9757.06,3715,30.16,39,30107,4,0,0.971,0.051,126.3,244,3,3727.68
15,2023,2,2,0,10143.49,3487,18.36,23,15145,3,3,0.929,0.035,100.8,131,2,2011.29
16,2023,2,2,0,22311.6,4404,16.56,33,23502,3,3,0.957,0.0287,106.7,202,13,3544.11
17,2023,2,2,0,12826.17,3783,23.04,44,29653,4,2,0.931,0.0364,103.6,251,9,3158.79
18,2023,2,2,0,9299.42,3535,27.39,36,28051,4,3,0.951,0.0389,91.4,239,17,2546.47
19,2023,2,2,0,13014.65,4549,22.36,42,28971,2,2,0.938,0.0366,111.3,243,3,3510.32
20,2023,2,2,0,15616.44,4122,22.09,42,34465,5,3,0.925,0.0409,106.5,288,21,3382.91
21,2023,2,2,0,9755.8,4267,22.85,36,24435,3,5,0.933,0.035,108.6,202,10,2401.12
22,2023,2,2,0,15762.97,4972,26.64,39,30410,5,4,0.962,0.0474,121.2,243,9,5101.84
23,2023,2,2,0,18385.76,4430,19.43,43,32335,5,8,0.943,0.0457,92.8,272,9,2795.6
24,2023,2,2,0,13906.77,3939,18.44,38,25722,3,1,0.945,0.0284,93.6,218,1,2514.51
25,2023,2,2,0,15535.07,4204,30.39,31,20992,5,1,0.972,0.0447,108.2,177,4,4518.22
26,2023,2,2,0,15303.25,4201,23.81,36,26106,3,2,0.923,0.0386,105.3,210,13,3596.69
27,2023,2,2,0,19354.51,4479,15.74,34,23660,2,6,0.945,0.0291,96.2,177,9,2874.94
28,2023,2,2,0,6724.12,3311,28.78,33,24338,1,2,0.962,0.0376,122.5,191,7,1862.14
29,2023,2,2,0,7190.67,3886,21.47,34,25101,4,3,0.921,0.0311,94.4,237,8,2371.62
30,2023,2,2,0,11783.17,3536,19.95,37,26794,3,6,0.973,0.0356,107.9,208,15,2642.9
31,2023,2,2,0,13763.18,4094,25.27,32,21874,4,5,0.969,0.0416,110.2,173,9,3821.29
32,2023,2,2,0,11576.91,3893,21.75,27,13486,5,5,0.911,0.0415,85.4,126,4,2989.75
33,2023,2,2,0,16796.39,4333,26.58,36,30773,3,4,0.896,0.0314,96.3,254,9,3096.66
34,2023,2,2,0,16431.94,4229,25.4,40,30368,4,1,0.919,0.0482,107.5,242,7,3636.02
35,2023,2,2,0,10984.89,4859,16.28,36,30296,3,2,0.93,0.0291,116.3,254,5,1858.71
36,2023,2,2,0,24630.4,4967,21.68,32,21350,4,2,0.96,0.0391,116.3,196,1,3569.18
37,2023,2,2,0,15866.28,6561,22.68,46,34897,4,3,0.931,0.0459,109.3,291,10,5494.66
38,2023,2,2,0,27522.7,4579,22.31,37,26683,3,6,0.934,0.0356,90.7,228,8,4657.22
39,2023,2,2,0,14791.32,4297,23.36,34,20121,3,1,0.953,0.0379,92.8,161,1,4389.43
40,2023,2,2,0,15337.7,5010,21.6,36,29999,2,3,0.959,0.0324,111.6,267,11,3682.43
1,2023,3,3,0,7349.27,3805,28.45,41,29476,1,1,0.939,0.0416,98.3,263,11,3580.13
2,2023,3,3,0,11199.35,4258,20.55,28,21933,4,3,0.97,0.0351,93.7,171,5,2436.28
3,2023,3,3,0,14621.88,4104,17.21,44,36259,3,1,0.967,0.0373,97.3,285,8,2604.96
4,2023,3,3,0,16339.51,3908,25.87,28,21798,0,2,0.928,0.0265,111.4,174,9,2849.62
5,2023,3,3,0,9952.52,6333,21.52,56,45448,3,2,0.918,0.0417,114.3,389,9,3621.75
6,2023,3,3,0,6438.36,3700,25.06,43,31415,2,3,0.939,0.0349,93.5,251,1,3621.14
7,2023,3,3,0,13980.74,4092,17.93,30,20125,4,1,0.938,0.0366,96.3,179,9,2017.34
8,2023,3,3,0,16054.01,4291,22.68,41,31843,3,6,0.904,0.0419,103.6,264,2,3159.56
9,2023,3,3,0,17887.65,5440,19.55,42,32324,0,2,0.929,0.0328,100.2,251,5,3035.26
10,2023,3,3,0,9350.21,4446,20.89,39,29510,5,5,0.95,0.0412,113.9,249,9,2676
11,2023,3,3,0,31383.21,5565,23.91,40,28072,4,2,0.966,0.0431,103.1,231,8,4396.11
12,2023,3,3,0,23064.15,5071,22.37,47,39203,3,3,0.951,0.0388,102.1,325,9,5844.43
13,2023,3,3,0,22882.93,5003,18.7,41,29344,4,5,0.917,0.0403,96.9,239,5,4463.83
14,2023,3,3,0,10653.42,3983,28.74,40,30107,4,0,0.942,0.0369,126.3,244,3,3609.08
15,2023,3,3,0,22707.8,4476,18.5,20,15145,3,3,0.918,0.0435,100.8,131,2,3228.1
16,2023,3,3,0,9112.49,3413,16.56,32,23502,5,3,0.986,0.0313,106.7,202,13,2005.69
17,2023,3,3,0,18064.25,4709,23.54,40,29653,6,2,0.955,0.0476,103.6,251,9,4316.97
18,2023,3,3,0,12510.74,3639,26.23,37,28051,3,3,0.942,0.0342,91.4,239,17,2376.42
19,2023,3,3,0,12895.32,4905,22.09,35,28971,5,2,0.959,0.0361,111.3,243,3,3529.15
20,2023,3,3,0,14953.23,4186,22.22,41,34465,2,3,0.952,0.0271,106.5,288,21,3128.74
21,2023,3,3,0,11906.11,4192,22.96,37,24435,4,5,0.933,0.0401,108.6,202,10,2405.85
22,2023,3,3,0,12236.84,4266,25.96,39,30410,3,4,0.979,0.0328,121.2,243,9,3899.12
23,2023,3,3,0,9002.87,3809,18.8,44,32335,4,8,0.948,0.0332,92.8,272,9,2496.33
24,2023,3,3,0,7462.33,3620,18.66,36,25722,3,1,0.941,0.0356,93.6,218,1,1923.61
25,2023,3,3,0,17645.1,4525,30.24,28,20992,6,1,0.99,0.0431,108.2,177,4,5336.5
26,2023,3,3,0,23476.2,4584,24.29,39,26106,3,2,0.94,0.0352,105.3,210,13,4222.01
27,2023,3,3,0,9255.29,3740,15.93,32,23660,2,6,0.915,0.0336,96.2,177,9,1894.31
28,2023,3,3,0,5405.48,3998,29.23,31,24338,3,2,0.952,0.0371,122.5,191,7,2225.25
29,2023,3,3,0,15002.81,4169,21.42,33,25101,3,3,0.916,0.0362,94.4,237,8,2829.05
30,2023,3,3,0,8941.42,3610,20.49,38,26794,4,6,0.936,0.0443,107.9,208,15,2418.97
31,2023,3,3,0,30345.2,5241,25.09,31,21874,4,5,0.939,0.0441,110.2,173,9,5600.42
32,2023,3,3,0,8762.76,3464,21.24,24,13486,2,5,0.903,0.0366,85.4,126,4,3127.1
33,2023,3,3,0,11970.89,4566,26.86,40,30773,4,4,0.936,0.0428,96.3,254,9,2898.84
34,2023,3,3,0,9185.91,4031,25.81,38,30368,4,1,0.924,0.041,107.5,242,7,2989.51
35,2023,3,3,0,18527.66,6275,16.2,41,30296,4,2,0.953,0.0362,116.3,254,5,2412.35
36,2023,3,3,0,7837.04,3688,21.66,30,21350,3,2,0.955,0.0365,116.3,196,1,2335.81
37,2023,3,3,0,12313.5,5451,21.86,44,34897,1,3,0.96,0.0406,109.3,291,10,4692
38,2023,3,3,0,11017.99,3903,21.62,36,26683,5,6,0.934,0.0389,90.7,228,8,3190.3
39,2023,3,3,0,12796.05,4183,23.57,32,20121,3,1,0.914,0.025,92.8,161,1,4480.55
40,2023,3,3,0,6945.93,4668,21.2,36,29999,3,3,0.959,0.0337,111.6,267,11,2196.36
1,2023,4,4,0,9644.7,3866,27.48,39,29476,3,1,0.956,0.0403,98.3,263,11,3390.84
2,2023,4,4,0,19366.32,4400,20.28,30,21933,3,3,0.926,0.0353,93.7,171,5,3149.11
3,2023,4,4,0,6931.98,3435,17.91,45,36259,1,1,0.969,0.0279,97.3,285,8,2315.57
4,2023,4,4,0,15737.98,4422,26.38,30,21798,3,2,0.95,0.0457,111.4,174,9,3182.45
5,2023,4,4,0,12154.61,7205,21.74,54,45448,2,2,0.949,0.033,114.3,389,9,4410.35
6,2023,4,4,0,7001.02,3676,24.91,40,31415,2,3,0.957,0.0424,93.5,251,1,3294.33
7,2023,4,4,0,17873.62,4332,17.07,33,20125,3,1,0.939,0.0412,96.3,179,9,2311.32
8,2023,4,4,0,14400.48,4424,22.06,43,31843,5,6,0.945,0.0487,103.6,264,2,3113.39
9,2023,4,4,0,14883.08,5143,18.63,40,32324,4,2,0.903,0.0476,100.2,251,5,2648.19
10,2023,4,4,0,10983.62,4488,21.1,41,29510,3,5,0.932,0.0357,113.9,249,9,2796.55
11,2023,4,4,0,10863.74,4233,24.04,39,28072,5,2,0.963,0.0429,103.1,231,8,2734.52
12,2023,4,4,0,14080.37,4832,22,50,39203,3,3,0.944,0.0385,102.1,325,9,5554.38
13,2023,4,4,0,13213.09,4496,19,35,29344,6,5,0.946,0.048,96.9,239,5,3643.45
14,2023,4,4,0,11353.48,3876,28.71,38,30107,2,0,0.958,0.0467,126.3,244,3,4036.38
15,2023,4,4,0,7437.64,3701,19.32,23,15145,3,3,0.944,0.0317,100.8,131,2,2112.24
16,2023,4,4,0,11433.27,4129,15.95,32,23502,3,3,0.937,0.0426,106.7,202,13,2594.58
17,2023,4,4,0,13128.44,3854,22.26,36,29653,4,2,0.967,0.0364,103.6,251,9,3818.07
18,2023,4,4,0,9575.5,4263,27.45,42,28051,3,3,0.968,0.0448,91.4,239,17,2992.22
19,2023,4,4,0,16383.11,5308,21.34,38,28971,3,2,0.935,0.0401,111.3,243,3,4154.25
20,2023,4,4,0,12431.95,4315,21.66,44,34465,5,3,0.903,0.0404,106.5,288,21,2888.69
21,2023,4,4,0,21983.38,5242,22.39,38,24435,4,5,0.954,0.0381,108.6,202,10,2983.68
22,2023,4,4,0,10340.04,4509,27.32,43,30410,4,4,0.92,0.0424,121.2,243,9,3851.85
23,2023,4,4,0,13655.93,4366,18.73,39,32335,3,8,0.933,0.0295,92.8,272,9,2109.15
24,2023,4,4,0,11868.65,4039,19.04,34,25722,5,1,0.949,0.0345,93.6,218,1,2426.3
25,2023,4,4,0,16302.83,4267,30.52,30,20992,5,1,0.923,0.0441,108.2,177,4,4654.29
26,2023,4,4,0,17293.67,4360,24.74,35,26106,3,2,0.929,0.0262,105.3,210,13,4391.31
27,2023,4,4,0,16113.29,3953,15.94,34,23660,3,6,0.933,0.0379,96.2,177,9,2010.53
28,2023,4,4,0,13495.14,3890,28.8,34,24338,2,2,0.969,0.0347,122.5,191,7,2413.75
29,2023,4,4,0,13002.4,4253,20.76,35,25101,4,3,0.956,0.0393,94.4,237,8,2822.62
30,2023,4,4,0,8618.15,3885,19.62,30,26794,3,6,0.962,0.024,107.9,208,15,2270.16
31,2023,4,4,0,15372.32,4360,25,30,21874,5,5,0.967,0.0393,110.2,173,9,3658.96
32,2023,4,4,0,9892.82,3873,22.1,26,13486,2,5,0.941,0.0336,85.4,126,4,2753.74
33,2023,4,4,0,17084.14,4802,26.72,47,30773,3,4,0.929,0.0372,96.3,254,9,3471.98
34,2023,4,4,0,12556.2,4457,26.38,39,30368,2,1,0.968,0.035,107.5,242,7,3812.66
35,2023,4,4,0,12330.17,5268,16.37,38,30296,4,2,0.963,0.0345,116.3,254,5,2024.14
36,2023,4,4,0,8189.54,3779,22.83,29,21350,3,2,0.972,0.037,116.3,196,1,2500.2
37,2023,4,4,0,7845.57,6048,22.2,46,34897,3,3,0.996,0.04,109.3,291,10,4687.85
38,2023,4,4,0,12970.28,4119,21.71,36,26683,3,6,0.97,0.0318,90.7,228,8,3685.57
39,2023,4,4,0,20322.99,4857,22.38,28,20121,3,1,0.944,0.0322,92.8,161,1,4739.56
40,2023,4,4,0,16796.23,5432,21.61,39,29999,4,3,0.924,0.0469,111.6,267,11,3511.84
1,2023,5,5,0,19526.45,4821,28.89,38,29476,5,1,0.94,0.0399,98.3,263,11,5220.85
2,2023,5,5,0,7487.92,3891,20.1,32,21933,4,3,0.937,0.041,93.7,171,5,1929.75
3,2023,5,5,0,17003.61,4091,17.44,50,36259,2,1,0.932,0.0353,97.3,285,8,2861.58
4,2023,5,5,0,13806.77,4345,25.61,34,21798,4,2,0.937,0.0442,111.4,174,9,3044.76
5,2023,5,5,0,11379.95,5819,22.02,55,45448,2,2,0.963,0.0323,114.3,389,9,3613.4
6,2023,5,5,0,13704.15,4576,24.68,40,31415,3,3,0.939,0.042,93.5,251,1,4294.51
7,2023,5,5,0,8254.27,3959,17.38,31,20125,4,1,0.979,0.0356,96.3,179,9,1619.01
8,2023,5,5,0,11907.15,3909,22.71,38,31843,3,6,0.923,0.0421,103.6,264,2,2992.59
9,2023,5,5,0,11508.97,4862,18.8,44,32324,3,2,0.949,0.0403,100.2,251,5,2713.18
10,2023,5,5,0,12945.38,4420,19.84,40,29510,4,5,0.905,0.0405,113.9,249,9,2925.32
11,2023,5,5,0,11358.06,4431,24.58,40,28072,4,2,0.957,0.0407,103.1,231,8,2850.6
12,2023,5,5,0,10875.16,4309,23.21,48,39203,2,3,0.957,0.0358,102.1,325,9,5087.55
13,2023,5,5,0,9354.4,3769,18.51,36,29344,3,5,0.943,0.0331,96.9,239,5,2655.01
14,2023,5,5,0,6837.21,3821,27.96,41,30107,3,0,0.915,0.0384,126.3,244,3,3405.28
15,2023,5,5,0,13634.13,4291,18.16,25,15145,5,3,0.953,0.0401,100.8,131,2,2340.26
16,2023,5,5,0,10562.24,4262,16.59,33,23502,2,3,0.945,0.0288,106.7,202,13,2502.78
17,2023,5,5,0,5833.7,3241,23.03,40,29653,1,2,0.966,0.0311,103.6,251,9,2583.13
18,2023,5,5,0,22869.29,4420,26.49,36,28051,5,3,0.926,0.0422,91.4,239,17,3273.36
19,2023,5,5,0,11386.22,5041,21.59,37,28971,3,2,0.953,0.0313,111.3,243,3,3887.27
20,2023,5,5,0,11535.99,4497,22.48,44,34465,3,3,0.95,0.0342,106.5,288,21,3142.7
21,2023,5,5,0,7594.44,3893,22.84,34,24435,3,5,0.906,0.0347,108.6,202,10,1986.08
22,2023,5,5,0,12792.37,4904,27,38,30410,2,4,0.955,0.0343,121.2,243,9,5397.95
23,2023,5,5,0,7444.32,4228,19.29,40,32335,4,8,0.937,0.0391,92.8,272,9,2362.18
24,2023,5,5,0,11372.33,4363,18.72,32,25722,4,1,0.909,0.0425,93.6,218,1,2644.14
25,2023,5,5,0,7756.41,3654,29.9,30,20992,2,1,0.962,0.0455,108.2,177,4,3858.33
26,2023,5,5,0,9583.47,4091,23.21,34,26106,3,2,0.976,0.0314,105.3,210,13,3212.6
27,2023,5,5,0,11873.92,3957,15.66,34,23660,3,6,0.944,0.0366,96.2,177,9,1973.77
28,2023,5,5,0,10077.97,4068,28.48,33,24338,3,2,0.976,0.043,122.5,191,7,2394.29
29,2023,5,5,0,15858.23,4291,21.69,35,25101,3,3,0.953,0.029,94.4,237,8,2922.27
30,2023,5,5,0,7443.47,3883,20.74,41,26794,3,6,0.954,0.0274,107.9,208,15,2423.55
31,2023,5,5,0,8756.47,3402,24.91,30,21874,2,5,0.961,0.0311,110.2,173,9,2913.23
32,2023,5,5,0,27509.73,5357,20.93,22,13486,3,5,0.983,0.0303,85.4,126,4,4925.52
33,2023,5,5,0,9962.05,4324,28.24,37,30773,3,4,0.953,0.0455,96.3,254,9,2734.95
34,2023,5,5,0,13573.6,4395,26.04,39,30368,3,1,0.937,0.0409,107.5,242,7,3457.32
35,2023,5,5,0,18827.65,5687,15.64,42,30296,3,2,0.931,0.0308,116.3,254,5,2696.01
36,2023,5,5,0,5107.13,3803,22.39,31,21350,6,2,0.944,0.0458,116.3,196,1,2342.63
37,2023,5,5,0,14986.48,6413,22.19,44,34897,3,3,0.967,0.0401,109.3,291,10,4112.54
38,2023,5,5,0,15599.94,4538,21.55,35,26683,3,6,0.963,0.0329,90.7,228,8,3907.19
39,2023,5,5,0,8135.55,3914,23.08,31,20121,2,1,0.956,0.0392,92.8,161,1,3782.3
40,2023,5,5,0,9284.2,5164,22.06,41,29999,3,3,0.958,0.0388,111.6,267,11,3394.81
1,2023,6,6,0,11873.37,3917,28.23,37,29476,2,1,0.943,0.0342,98.3,263,11,3796.26
2,2023,6,6,0,5626.35,3837,20.29,30,21933,3,3,0.963,0.0281,93.7,171,5,1801.98
3,2023,6,6,0,8822.01,3803,17.69,45,36259,2,1,0.906,0.036,97.3,285,8,2099.27
4,2023,6,6,0,12291.15,3531,25.98,29,21798,3,2,0.948,0.048,111.4,174,9,2442.95
5,2023,6,6,0,13049.77,7133,21.89,53,45448,3,2,0.954,0.0422,114.3,389,9,5209.65
6,2023,6,6,0,14039.48,4413,24.32,37,31415,3,3,0.936,0.0355,93.5,251,1,4005.86
7,2023,6,6,0,8635.99,3924,17.57,30,20125,4,1,0.945,0.0409,96.3,179,9,1574.04
8,2023,6,6,0,9222.63,3928,21.75,40,31843,3,6,0.961,0.0382,103.6,264,2,2503.78
9,2023,6,6,0,16865.43,5725,18.92,42,32324,3,2,0.932,0.0233,100.2,251,5,3251.78
10,2023,6,6,0,21200.1,5292,21.37,41,29510,4,5,0.946,0.0356,113.9,249,9,3593.15
11,2023,6,6,0,15351.53,4446,23.74,37,28072,4,2,0.954,0.0327,103.1,231,8,2793.97
12,2023,6,6,0,9628.16,4180,22.01,48,39203,2,3,0.975,0.0366,102.1,325,9,4252.21
13,2023,6,6,0,15391.1,4428,19.18,39,29344,2,5,0.925,0.0258,96.9,239,5,3820.19
14,2023,6,6,0,13949.87,4028,28.33,42,30107,2,0,0.979,0.0337,126.3,244,3,4364.13
15,2023,6,6,0,10521.9,4126,18.66,24,15145,4,3,0.922,0.041,100.8,131,2,2210.85
16,2023,6,6,0,10951.39,4475,15.41,33,23502,2,3,0.962,0.0316,106.7,202,13,2708.06
17,2023,6,6,0,12108.32,4377,22.37,41,29653,4,2,0.956,0.0414,103.6,251,9,3566.42
18,2023,6,6,0,15706.13,4493,26.44,36,28051,4,3,0.973,0.035,91.4,239,17,2879.11
19,2023,6,6,0,12817.49,5157,21.77,39,28971,3,2,0.974,0.0289,111.3,243,3,3495.77
20,2023,6,6,0,11514.47,4214,22.09,47,34465,1,3,0.953,0.0267,106.5,288,21,2757.25
21,2023,6,6,0,10327.68,3951,23.45,35,24435,3,5,0.949,0.0402,108.6,202,10,2344.78
22,2023,6,6,0,22581.32,5552,25.9,37,30410,3,4,0.953,0.0439,121.2,243,9,5587.13
23,2023,6,6,0,10558.88,3834,18.59,46,32335,3,8,0.948,0.0454,92.8,272,9,2233.14
24,2023,6,6,0,11121.62,3630,18.36,38,25722,3,1,0.975,0.0281,93.6,218,1,2072.85
25,2023,6,6,0,10106.8,4503,29.6,31,20992,4,1,0.915,0.0437,108.2,177,4,4125.68
26,2023,6,6,0,14228.71,4676,23.71,37,26106,3,2,0.94,0.0415,105.3,210,13,3689.65
27,2023,6,6,0,8185.24,3824,16.39,34,23660,3,6,0.944,0.0279,96.2,177,9,1890.32
28,2023,6,6,0,17078.83,4588,28.26,34,24338,3,2,0.943,0.0506,122.5,191,7,2962.27
29,2023,6,6,0,10397.55,3828,21.51,34,25101,2,3,0.972,0.0419,94.4,237,8,2501.82
30,2023,6,6,0,5687.61,3415,19.78,38,26794,4,6,0.96,0.0318,107.9,208,15,2182.1
31,2023,6,6,0,12068.71,4088,24.79,33,21874,2,5,0.958,0.0463,110.2,173,9,3109.88
32,2023,6,6,0,22915,4914,21.65,20,13486,4,5,0.96,0.0382,85.4,126,4,4797.61
33,2023,6,6,0,6715.62,4300,26.15,41,30773,3,4,0.936,0.0261,96.3,254,9,2441.29
34,2023,6,6,0,14290.6,4630,26.54,38,30368,4,1,0.966,0.0324,107.5,242,7,3798.48
35,2023,6,6,0,9808.36,5099,16.32,39,30296,3,2,0.945,0.0287,116.3,254,5,1767.86
36,2023,6,6,0,15747.1,3936,22.22,32,21350,2,2,0.932,0.0411,116.3,196,1,2630.62
37,2023,6,6,0,9965.66,5910,22.63,44,34897,3,3,0.972,0.046,109.3,291,10,4971
38,2023,6,6,0,12416.6,4175,21.2,37,26683,2,6,0.974,0.0379,90.7,228,8,2999.92
39,2023,6,6,0,18277.77,4919,23.19,30,20121,2,1,1,0.0386,92.8,161,1,4937.13
40,2023,6,6,0,14860.53,5602,21.57,43,29999,4,3,0.952,0.0421,111.6,267,11,3704.55
1,2023,7,7,0,16784.95,4688,28,37,29476,3,1,0.96,0.0423,98.3,263,11,5277.35
2,2023,7,7,0,11973.17,4487,19.85,31,21933,4,3,0.959,0.0365,93.7,171,5,2432.88
3,2023,7,7,0,6538.82,3905,17.71,47,36259,2,1,0.947,0.0329,97.3,285,8,2141.65
4,2023,7,7,0,15870.12,4113,25.54,30,21798,4,2,0.964,0.0384,111.4,174,9,2512.94
5,2023,7,7,0,15836.2,7739,22,56,45448,3,2,0.917,0.0431,114.3,389,9,4938.73
6,2023,7,7,0,10352.17,4204,23.47,42,31415,3,3,0.917,0.0301,93.5,251,1,3816.18
7,2023,7,7,0,9329.69,3992,17.38,26,20125,5,1,0.965,0.0379,96.3,179,9,1649.27
8,2023,7,7,0,12793.2,4391,22.85,44,31843,4,6,0.915,0.0374,103.6,264,2,3063.09
9,2023,7,7,0,8161.3,4968,18.9,42,32324,2,2,0.931,0.0323,100.2,251,5,2353.78
10,2023,7,7,0,17132.65,4727,20.2,37,29510,4,5,0.929,0.0377,113.9,249,9,2742.51
11,2023,7,7,0,8299.23,3787,23.91,38,28072,2,2,0.95,0.0332,103.1,231,8,2566.76
12,2023,7,7,0,23436.33,5963,21.66,50,39203,5,3,0.917,0.0449,102.1,325,9,7004.55
13,2023,7,7,0,7659.06,3992,19.17,39,29344,2,5,0.953,0.0355,96.9,239,5,2665.02
14,2023,7,7,0,18243.95,4592,28.7,40,30107,5,0,0.95,0.0472,126.3,244,3,4872.7
15,2023,7,7,0,18814.88,4721,19.08,23,15145,3,3,0.941,0.0367,100.8,131,2,2928.07
16,2023,7,7,0,11385.24,4671,16.1,30,23502,4,3,0.97,0.0296,106.7,202,13,3120.16
