cliente_id,genero,rango_edad,distrito,tipo_cliente,monto_promedio_mensual,cantidad_transacciones_mes,tipo_transaccion_frecuente,frecuencia_uso_app,sesiones_mes,dias_desde_ultimo_login,interaccion_promociones,promociones_abiertas,cantidad_quejas,ultima_queja_dias,productos_activos,uso_biometria,notificaciones_activas,uso_pago_servicios,uso_transferencias,abandono
C0023,Femenino,60+,Mejicanos,Oro,3949,38,TarjetaCredito,5,33,79,Ninguna,3,5,216,6,No,Si,No,No,Si
C0024,Masculino,36-45,Santa Tecla,Plata,904,28,TarjetaCredito,16,42,82,Ninguna,2,3,338,1,No,No,Si,Si,Si
C0025,Femenino,26-35,Soyapango,Plata,147,74,PagoServicios,23,40,18,Ninguna,6,3,254,4,Si,Si,Si,Si,No
C0026,Femenino,26-35,San Miguel,Oro,3122,60,Mixto,17,4,142,Alta,8,1,305,3,No,No,No,Si,Si
C0027,Femenino,46-60,Santa Tecla,Oro,3612,10,Mixto,10,50,133,Media,3,3,140,3,No,Si,Si,Si,Si
C0028,Masculino,46-60,San Miguel,Oro,2700,54,PagoPrestamos,29,22,138,Ninguna,9,3,357,1,No,No,Si,No,Si
C0029,Femenino,46-60,Apopa,Plata,852,35,PagoPrestamos,16,39,56,Media,0,3,200,3,No,Si,No,Si,No
C0030,Masculino,46-60,Ahuachapan,Plata,127,7,Recargas,13,28,34,Media,5,3,109,4,No,No,No,No,No
C0031,Femenino,36-45,Santa Ana,Plata,867,6,Transferencias,8,23,57,Alta,3,5,11,5,Si,Si,Si,No,No
C0032,Masculino,60+,Soyapango,Plata,362,21,Recargas,4,11,155,Alta,9,4,14,3,No,No,Si,Si,Si
C0033,Masculino,18-25,Santa Tecla,Oro,4300,48,Transferencias,17,37,10,Ninguna,10,2,175,1,No,No,Si,No,No
C0034,Femenino,46-60,San Miguel,Plata,851,76,Recargas,11,18,157,Ninguna,3,4,45,3,No,Si,No,No,Si
C0035,Femenino,18-25,Sonsonate,Oro,2998,36,TarjetaCredito,1,23,66,Baja,8,2,98,1,Si,No,No,Si,No
C0036,Femenino,46-60,Sonsonate,Oro,2206,48,PagoPrestamos,18,26,177,Baja,8,1,177,4,No,No,No,No,Si
C0037,Femenino,36-45,Soyapango,Plata,297,62,Recargas,24,48,137,Media,9,5,269,5,No,Si,Si,No,Si
C0038,Masculino,36-45,San Miguel,Plata,825,17,Mixto,28,18,11,Baja,7,0,53,1,No,No,No,No,No
C0039,Femenino,26-35,San Salvador,Plata,982,7,PagoServicios,5,5,102,Alta,9,3,156,1,Si,Si,No,Si,Si
C0040,Femenino,46-60,Sonsonate,Plata,702,27,Mixto,7,37,158,Alta,4,0,339,1,Si,Si,Si,Si,No
C0041,Masculino,18-25,Apopa,Plata,708,59,Transferencias,22,3,59,Baja,3,2,136,6,Si,No,Si,Si,Si
C0042,Masculino,36-45,San Miguel,Plata,269,39,Mixto,13,39,145,Ninguna,4,2,257,5,No,No,Si,Si,Si
C0043,Femenino,36-45,Ahuachapan,Plata,193,23,PagoPrestamos,17,37,150,Baja,10,0,227,3,Si,No,No,Si,Si
C0044,Femenino,36-45,Apopa,Plata,786,52,TarjetaCredito,2,22,105,Ninguna,7,5,46,3,No,No,Si,No,Si
C0045,Masculino,60+,Sonsonate,Plata,292,27,Recargas,18,40,127,Ninguna,2,5,148,4,No,Si,Si,Si,Si
C0046,Masculino,36-45,Usulutan,Plata,517,64,Mixto,10,8,118,Media,8,0,362,3,No,No,No,Si,No
C0047,Femenino,60+,San Miguel,Plata,713,44,TarjetaCredito,9,9,17,Ninguna,0,2,145,6,No,No,Si,No,No
C0048,Femenino,36-45,Mejicanos,Plata,656,74,PagoPrestamos,8,21,48,Media,6,5,23,3,No,No,No,Si,No
C0049,Femenino,18-25,San Miguel,Plata,704,19,PagoPrestamos,28,29,25,Ninguna,10,4,80,1,No,No,No,No,Si
C0050,Masculino,36-45,Usulutan,Plata,424,31,Mixto,22,49,124,Alta,4,4,117,6,Si,No,Si,Si,Si
C0051,Femenino,26-35,Santa Tecla,Diamante,11523,32,TarjetaCredito,14,4,75,Baja,9,2,350,2,Si,Si,Si,No,Si
C0052,Masculino,46-60,Ahuachapan,Plata,572,60,Recargas,22,30,65,Alta,8,5,81,1,No,No,No,No,No
C0053,Femenino,46-60,Santa Tecla,Plata,493,38,Transferencias,27,7,60,Baja,10,3,203,3,Si,Si,No,No,Si
C0054,Masculino,60+,Mejicanos,Plata,294,6,Recargas,26,44,168,Media,7,5,18,5,No,Si,Si,No,Si
C0055,Femenino,46-60,San Miguel,Plata,905,33,PagoPrestamos,26,34,128,Media,4,2,174,1,No,Si,Si,Si,No
C0056,Femenino,60+,Mejicanos,Plata,504,34,TarjetaCredito,13,35,31,Baja,10,3,191,1,Si,No,Si,No,Si
C0057,Masculino,18-25,Sonsonate,Diamante,8345,39,PagoPrestamos,4,8,35,Alta,1,0,121,5,Si,No,No,No,No
C0058,Femenino,60+,San Miguel,Oro,1406,48,PagoServicios,15,32,157,Baja,7,3,121,3,Si,No,No,Si,Si
C0059,Femenino,36-45,Soyapango,Diamante,8726,7,Recargas,8,6,169,Alta,2,1,290,2,Si,Si,Si,Si,No
C0060,Femenino,26-35,Ahuachapan,Plata,979,4,PagoServicios,1,35,64,Alta,5,1,122,5,No,Si,Si,No,No
C0061,Masculino,26-35,Apopa,Plata,863,29,TarjetaCredito,2,29,92,Alta,10,4,267,3,No,Si,Si,No,Si
C0062,Femenino,46-60,Santa Ana,Plata,554,17,Recargas,20,21,155,Alta,10,1,300,5,No,No,No,No,No
C0063,Femenino,18-25,Santa Ana,Oro,4596,53,Recargas,27,36,55,Ninguna,7,3,205,4,Si,No,No,No,No
C0064,Femenino,36-45,San Miguel,Oro,1275,48,PagoServicios,18,6,23,Alta,0,3,301,5,No,Si,No,No,No
C0065,Femenino,18-25,Santa Tecla,Oro,1425,29,Transferencias,12,33,54,Ninguna,8,1,189,1,No,Si,No,Si,No
C0066,Femenino,18-25,San Miguel,Plata,880,73,Mixto,13,23,1,Media,1,1,73,6,Si,Si,Si,No,No
C0067,Femenino,46-60,Mejicanos,Plata,419,20,PagoServicios,25,50,145,Alta,9,4,26,6,Si,No,No,No,No
C0068,Femenino,60+,Sonsonate,Plata,320,76,PagoPrestamos,17,8,88,Alta,10,3,158,1,Si,No,Si,Si,Si
C0069,Masculino,36-45,Soyapango,Oro,2047,56,PagoServicios,5,21,30,Ninguna,6,0,273,6,Si,No,Si,No,No
C0070,Masculino,46-60,San Salvador,Plata,179,54,Recargas,4,37,109,Ninguna,6,4,11,3,Si,No,No,Si,Si
C0071,Femenino,18-25,Soyapango,Plata,510,22,Transferencias,17,26,79,Baja,10,5,59,5,Si,No,No,Si,Si
C0072,Masculino,18-25,San Miguel,Plata,277,64,PagoPrestamos,25,49,167,Media,9,0,297,4,No,No,Si,No,No
C0073,Masculino,46-60,Sonsonate,Oro,2126,58,Transferencias,2,4,90,Alta,5,4,147,1,Si,No,No,Si,Si
C0074,Femenino,60+,Soyapango,Plata,587,11,TarjetaCredito,21,4,115,Baja,2,0,21,2,No,No,Si,No,No
C0075,Femenino,36-45,Apopa,Plata,446,13,TarjetaCredito,22,4,161,Baja,6,5,146,3,Si,No,Si,Si,Si
C0076,Femenino,36-45,Apopa,Plata,825,68,Transferencias,21,20,143,Baja,10,3,217,5,No,Si,No,No,No
C0077,Masculino,26-35,Mejicanos,Diamante,6856,13,TarjetaCredito,25,9,39,Baja,8,0,270,1,No,Si,No,Si,No
C0078,Masculino,26-35,Ahuachapan,Oro,3954,79,Recargas,25,3,105,Media,7,2,120,5,Si,No,No,Si,No
C0079,Femenino,60+,Sonsonate,Plata,388,78,PagoServicios,28,33,135,Media,4,3,27,6,No,No,Si,Si,No
C0080,Femenino,18-25,San Miguel,Plata,625,45,Transferencias,14,28,23,Ninguna,0,1,203,5,No,Si,No,Si,No
C0081,Femenino,26-35,San Salvador,Plata,201,5,Recargas,30,42,85,Media,7,1,357,2,No,No,Si,Si,No
C0082,Masculino,36-45,Soyapango,Oro,4852,31,Recargas,4,39,135,Alta,0,3,123,4,No,Si,Si,No,Si
C0083,Masculino,60+,Ahuachapan,Plata,247,24,Mixto,22,1,157,Media,1,2,269,3,Si,Si,No,No,Si
C0084,Masculino,46-60,Mejicanos,Plata,116,75,Mixto,25,5,88,Alta,5,1,69,1,No,No,Si,No,No
C0085,Femenino,26-35,San Miguel,Plata,894,6,Recargas,30,3,75,Alta,4,1,264,4,No,No,Si,Si,Si
C0086,Femenino,36-45,San Salvador,Oro,2120,50,Recargas,6,24,111,Ninguna,7,3,355,4,No,No,Si,No,No
C0087,Masculino,46-60,Ahuachapan,Diamante,7407,38,Recargas,15,21,26,Baja,9,0,219,2,No,No,No,Si,No
C0088,Femenino,60+,Apopa,Plata,910,21,Transferencias,5,5,171,Ninguna,9,5,348,4,Si,Si,Si,Si,Si
C0089,Femenino,36-45,Apopa,Diamante,6257,10,TarjetaCredito,5,44,115,Baja,8,2,188,4,No,No,Si,Si,Si
C0090,Masculino,26-35,Sonsonate,Plata,675,79,Recargas,23,50,66,Ninguna,7,5,103,1,Si,Si,No,Si,Si
C0091,Femenino,18-25,Mejicanos,Oro,1266,23,Recargas,17,35,74,Media,3,2,63,2,Si,Si,No,Si,No
C0092,Femenino,60+,Ahuachapan,Plata,922,51,Mixto,24,40,22,Baja,7,0,270,4,No,Si,Si,No,No
C0093,Masculino,46-60,Sonsonate,Oro,1526,17,PagoPrestamos,17,50,141,Media,0,5,64,5,Si,No,Si,Si,Si
C0094,Femenino,26-35,Mejicanos,Diamante,7327,39,TarjetaCredito,18,6,64,Baja,1,1,258,6,Si,Si,Si,No,Si
C0095,Masculino,18-25,Santa Ana,Plata,756,4,PagoPrestamos,29,17,166,Ninguna,10,1,280,3,No,No,Si,No,Si
C0096,Femenino,46-60,Santa Ana,Oro,2801,41,Mixto,11,31,118,Baja,5,1,205,2,No,Si,No,Si,Si
C0097,Femenino,18-25,Santa Tecla,Plata,244,21,Recargas,30,19,98,Ninguna,9,4,161,2,Si,No,No,No,Si
C0098,Femenino,46-60,San Salvador,Plata,502,37,PagoPrestamos,20,16,55,Baja,10,4,345,4,No,Si,Si,No,Si
C0099,Masculino,36-45,Mejicanos,Oro,1186,37,Transferencias,13,4,145,Media,8,4,231,5,No,Si,Si,Si,Si
C0100,Femenino,36-45,Mejicanos,Plata,474,6,Transferencias,5,13,154,Ninguna,5,4,243,5,No,Si,Si,No,Si
C0101,Femenino,26-35,Apopa,Diamante,7452,39,PagoPrestamos,27,38,86,Ninguna,0,4,189,3,Si,No,No,Si,Si
C0102,Femenino,36-45,Ahuachapan,Plata,838,32,Transferencias,19,31,43,Ninguna,1,4,98,1,No,No,No,Si,Si
C0103,Femenino,26-35,Apopa,Plata,726,67,PagoServicios,18,48,15,Media,5,5,340,4,No,No,Si,No,No
C0104,Femenino,60+,Mejicanos,Oro,3953,32,Recargas,18,42,177,Ninguna,4,2,116,3,No,Si,No,No,Si
C0105,Femenino,36-45,Usulutan,Diamante,7241,51,Recargas,25,19,31,Ninguna,2,4,149,1,No,Si,No,No,No
C0106,Femenino,46-60,Soyapango,Plata,651,79,Mixto,19,45,69,Alta,3,1,125,1,Si,Si,Si,Si,No
C0107,Femenino,36-45,Sonsonate,Plata,889,26,Recargas,11,36,40,Ninguna,4,3,331,1,Si,Si,Si,Si,Si
C0108,Femenino,26-35,San Salvador,Diamante,9059,39,TarjetaCredito,20,12,74,Alta,1,0,172,3,No,No,Si,No,No
C0109,Femenino,26-35,Santa Ana,Plata,848,38,TarjetaCredito,22,17,47,Baja,3,0,90,5,No,No,No,Si,No
C0110,Femenino,18-25,San Miguel,Diamante,7033,35,Recargas,10,1,66,Media,9,3,294,1,No,No,Si,Si,Si
C0111,Masculino,46-60,Santa Tecla,Plata,802,38,Recargas,20,50,79,Alta,3,5,113,2,No,Si,No,No,Si
C0112,Femenino,60+,Sonsonate,Oro,3721,68,Mixto,12,14,63,Alta,1,5,289,1,Si,Si,Si,Si,Si
C0113,Femenino,60+,Sonsonate,Plata,310,59,PagoServicios,17,32,23,Ninguna,6,4,234,5,Si,No,No,Si,No
C0114,Femenino,36-45,San Salvador,Oro,1300,8,Transferencias,30,28,88,Alta,7,5,17,3,No,Si,Si,No,Si
C0115,Femenino,46-60,Sonsonate,Oro,2539,45,Transferencias,6,44,169,Media,8,4,202,5,Si,Si,Si,Si,Si
C0116,Femenino,46-60,Usulutan,Plata,488,36,PagoServicios,30,16,117,Media,1,2,17,6,No,Si,Si,Si,No
C0117,Masculino,18-25,Ahuachapan,Plata,712,30,TarjetaCredito,7,4,62,Alta,0,5,72,5,No,Si,No,No,Si
C0118,Masculino,36-45,San Miguel,Diamante,8388,55,TarjetaCredito,16,20,70,Media,0,0,177,6,No,No,No,No,No
C0119,Masculino,36-45,Apopa,Plata,650,8,TarjetaCredito,14,15,76,Media,6,5,286,5,Si,No,Si,No,No
C0120,Masculino,36-45,Santa Ana,Diamante,5758,49,Mixto,20,35,48,Baja,9,0,21,1,Si,Si,No,Si,No
C0121,Femenino,36-45,San Salvador,Plata,294,51,PagoServicios,18,8,122,Media,5,1,145,4,No,No,No,No,No
C0122,Femenino,60+,Sonsonate,Plata,922,6,TarjetaCredito,28,49,81,Baja,3,1,75,1,No,No,No,Si,Si
C0123,Masculino,36-45,Soyapango,Plata,953,63,Mixto,21,36,167,Baja,7,5,236,2,No,Si,Si,No,Si
C0124,Masculino,60+,San Salvador,Plata,959,18,Mixto,8,43,12,Ninguna,1,0,363,2,Si,Si,No,No,No
C0125,Masculino,60+,Ahuachapan,Diamante,5129,68,Mixto,9,1,136,Ninguna,8,4,147,1,No,Si,Si,Si,Si
C0126,Masculino,26-35,Soyapango,Oro,4340,59,TarjetaCredito,8,18,101,Baja,3,0,154,6,Si,Si,Si,No,No
C0127,Femenino,46-60,Usulutan,Plata,752,43,TarjetaCredito,28,11,21,Ninguna,1,3,271,1,Si,Si,No,No,Si
C0128,Masculino,18-25,Santa Tecla,Oro,3696,76,PagoServicios,25,12,80,Media,6,0,40,3,Si,Si,No,No,No
C0129,Femenino,26-35,Santa Ana,Plata,454,78,TarjetaCredito,20,28,59,Baja,6,0,168,1,No,No,No,Si,No
C0130,Femenino,60+,Apopa,Plata,796,10,Transferencias,9,25,21,Baja,2,4,195,6,Si,No,No,No,Si
C0131,Masculino,18-25,San Salvador,Diamante,11237,24,PagoPrestamos,15,18,26,Alta,8,1,285,5,No,Si,Si,Si,No
C0132,Femenino,60+,Santa Ana,Plata,903,72,PagoServicios,19,1,74,Ninguna,8,3,87,6,No,Si,Si,No,Si
C0133,Femenino,36-45,Sonsonate,Plata,271,32,Mixto,21,27,76,Alta,7,3,305,5,Si,No,Si,Si,Si
C0134,Femenino,18-25,Apopa,Plata,735,77,PagoServicios,10,22,112,Ninguna,5,2,309,6,Si,No,No,Si,No
C0135,Femenino,36-45,Santa Tecla,Oro,3012,51,Recargas,4,16,83,Baja,9,3,103,5,Si,Si,No,Si,No
C0136,Femenino,36-45,Santa Ana,Oro,4257,20,Mixto,14,44,127,Baja,6,1,38,4,No,No,No,Si,Si
C0137,Femenino,60+,Ahuachapan,Oro,1448,79,Transferencias,19,16,168,Baja,10,5,347,6,No,No,No,Si,Si
C0138,Masculino,18-25,Santa Tecla,Plata,864,51,PagoPrestamos,25,38,176,Media,10,4,302,6,Si,No,Si,No,Si
C0139,Masculino,36-45,Apopa,Diamante,11811,44,PagoPrestamos,26,47,36,Baja,3,2,267,4,No,No,Si,No,No
C0140,Femenino,36-45,Santa Ana,Plata,929,22,Mixto,8,2,87,Alta,8,5,90,5,Si,No,No,No,Si
C0141,Masculino,46-60,San Miguel,Plata,773,50,Transferencias,23,2,157,Ninguna,3,1,106,3,Si,Si,Si,No,Si
C0142,Femenino,26-35,Sonsonate,Plata,786,76,Transferencias,12,34,163,Ninguna,5,2,235,5,Si,No,Si,Si,Si
C0143,Femenino,18-25,Soyapango,Plata,287,74,PagoPrestamos,14,10,130,Ninguna,2,3,250,6,Si,Si,No,No,Si
C0144,Masculino,26-35,Mejicanos,Oro,1220,72,TarjetaCredito,21,1,124,Media,7,1,210,6,No,No,No,No,No
C0145,Masculino,18-25,Ahuachapan,Plata,879,59,TarjetaCredito,24,3,70,Baja,7,1,282,5,Si,Si,No,No,Si
C0146,Masculino,46-60,Usulutan,Plata,535,58,Recargas,12,42,63,Alta,1,2,225,1,Si,Si,No,No,No
C0147,Masculino,60+,San Miguel,Oro,1848,22,Recargas,23,4,145,Baja,4,2,149,5,No,Si,Si,No,Si
C0148,Masculino,36-45,San Miguel,Oro,2023,74,Mixto,9,46,82,Ninguna,10,1,213,4,No,Si,Si,No,Si
C0149,Femenino,36-45,Sonsonate,Diamante,5021,46,Transferencias,26,50,23,Ninguna,8,5,204,2,No,Si,No,No,Si
C0150,Femenino,36-45,Mejicanos,Plata,233,59,Transferencias,4,32,87,Alta,2,5,226,4,Si,No,Si,Si,Si
C0151,Femenino,26-35,Santa Tecla,Plata,469,40,Mixto,23,24,170,Media,3,5,220,6,Si,Si,Si,Si,Si
C0152,Femenino,18-25,San Miguel,Plata,631,55,Mixto,5,1,2,Baja,7,5,37,2,No,Si,Si,Si,No
C0153,Femenino,36-45,Santa Tecla,Plata,892,73,Transferencias,20,9,164,Media,10,5,85,4,No,Si,Si,No,Si
C0154,Femenino,26-35,Santa Ana,Oro,4083,18,PagoServicios,9,38,98,Ninguna,10,2,44,2,No,Si,No,Si,Si
C0155,Masculino,46-60,Santa Tecla,Oro,4678,77,Transferencias,17,16,126,Alta,0,3,185,3,Si,No,No,No,Si
C0156,Masculino,46-60,Santa Ana,Plata,169,65,Recargas,21,14,10,Ninguna,8,0,213,4,No,Si,Si,No,No
C0157,Masculino,36-45,Santa Ana,Plata,308,9,Recargas,23,10,137,Ninguna,6,2,123,1,Si,Si,No,Si,Si
C0158,Femenino,60+,Ahuachapan,Plata,782,18,Mixto,1,48,44,Alta,2,0,255,3,No,Si,No,Si,No
C0159,Femenino,18-25,San Salvador,Plata,539,66,Recargas,2,5,67,Alta,7,5,291,2,No,Si,No,Si,Si
C0160,Masculino,26-35,Usulutan,Plata,979,20,PagoServicios,30,16,11,Baja,0,3,284,6,No,Si,No,Si,Si
C0161,Femenino,36-45,Santa Tecla,Oro,2528,29,TarjetaCredito,2,33,172,Media,6,0,36,4,No,No,No,Si,No
C0162,Femenino,18-25,Mejicanos,Plata,677,64,PagoServicios,24,48,159,Ninguna,8,1,126,2,Si,No,Si,Si,Si
C0163,Femenino,18-25,Mejicanos,Plata,773,68,PagoServicios,14,48,78,Media,7,0,31,2,No,Si,Si,Si,No
C0164,Femenino,36-45,Sonsonate,Diamante,5783,73,Transferencias,14,33,34,Ninguna,10,5,67,2,No,No,No,No,Si
C0165,Femenino,36-45,Sonsonate,Plata,176,14,PagoServicios,15,9,149,Media,7,0,161,4,Si,No,Si,No,No
C0166,Femenino,46-60,Santa Tecla,Oro,1646,42,PagoServicios,3,44,77,Alta,3,5,183,4,Si,No,No,Si,Si
C0167,Masculino,46-60,Sonsonate,Plata,663,2,Transferencias,27,30,26,Alta,3,1,67,2,No,No,Si,No,No
C0168,Masculino,18-25,Santa Ana,Plata,761,6,PagoPrestamos,2,9,23,Alta,2,2,294,4,No,No,Si,No,No
C0169,Femenino,26-35,Mejicanos,Plata,291,38,PagoPrestamos,14,29,38,Media,8,0,246,1,Si,No,No,Si,No
C0170,Femenino,26-35,Usulutan,Plata,921,63,Recargas,30,2,97,Baja,9,5,258,3,No,No,Si,Si,Si
C0171,Femenino,60+,Soyapango,Plata,930,30,PagoServicios,4,4,120,Baja,3,4,337,2,No,Si,Si,No,Si
C0172,Femenino,26-35,San Miguel,Plata,425,46,TarjetaCredito,19,45,91,Alta,2,4,289,2,No,No,Si,No,Si
C0173,Masculino,18-25,San Salvador,Plata,324,17,Recargas,23,31,0,Media,2,2,166,1,Si,Si,Si,Si,No
C0174,Femenino,18-25,Mejicanos,Oro,2621,21,Mixto,14,7,86,Baja,10,2,250,6,No,Si,No,Si,Si
C0175,Masculino,46-60,Santa Tecla,Oro,1522,73,Transferencias,6,47,0,Ninguna,9,5,163,5,Si,Si,No,Si,No
C0176,Femenino,18-25,Soyapango,Plata,427,34,PagoServicios,8,6,171,Baja,1,5,180,3,Si,Si,Si,No,Si
C0177,Femenino,46-60,San Miguel,Oro,4612,74,Mixto,25,23,139,Alta,10,3,116,2,No,Si,Si,No,No
C0178,Masculino,36-45,Santa Tecla,Diamante,6394,71,Transferencias,11,25,41,Alta,9,5,315,4,Si,No,Si,No,No
C0179,Masculino,18-25,Santa Ana,Plata,294,13,Transferencias,13,36,138,Baja,9,2,282,4,Si,Si,No,Si,Si
C0180,Femenino,18-25,Santa Tecla,Oro,3459,22,Mixto,10,13,24,Media,1,0,243,1,No,No,No,No,No
C0181,Femenino,18-25,Usulutan,Plata,479,34,PagoPrestamos,15,24,47,Alta,4,3,116,3,Si,Si,Si,Si,No
C0182,Femenino,60+,Apopa,Diamante,9536,61,TarjetaCredito,29,4,99,Ninguna,3,4,244,3,Si,No,Si,Si,No
C0183,Masculino,46-60,San Miguel,Diamante,6736,11,Mixto,14,13,32,Ninguna,3,0,322,2,No,No,Si,Si,No
C0184,Femenino,60+,Apopa,Plata,977,20,PagoServicios,19,30,3,Ninguna,9,5,299,1,Si,Si,No,No,Si
C0185,Femenino,36-45,Apopa,Oro,3495,78,Mixto,23,3,44,Ninguna,6,2,20,4,No,Si,Si,No,Si
C0186,Femenino,36-45,San Salvador,Plata,912,30,PagoServicios,10,18,125,Alta,7,5,165,3,No,Si,Si,No,No
C0187,Masculino,46-60,Sonsonate,Oro,2532,65,PagoPrestamos,5,4,131,Alta,8,1,292,1,Si,Si,Si,Si,Si
C0188,Masculino,18-25,Sonsonate,Plata,469,16,Mixto,1,18,94,Ninguna,3,3,191,4,No,Si,No,No,Si
C0189,Femenino,26-35,Santa Tecla,Oro,1371,28,PagoServicios,21,2,98,Media,3,0,347,2,No,No,Si,Si,No
C0190,Femenino,26-35,San Miguel,Oro,1917,49,Recargas,15,39,78,Baja,4,5,112,4,No,No,Si,Si,Si
C0191,Femenino,60+,Ahuachapan,Oro,3804,42,Recargas,9,31,16,Baja,10,2,365,6,No,Si,Si,Si,No
C0192,Masculino,60+,Apopa,Oro,1574,54,PagoPrestamos,13,2,167,Baja,0,3,299,6,Si,No,Si,No,Si
C0193,Femenino,60+,Santa Tecla,Oro,3694,34,Mixto,26,12,75,Ninguna,8,0,94,6,No,Si,Si,No,Si
C0194,Masculino,36-45,Apopa,Oro,2523,75,TarjetaCredito,20,38,75,Alta,1,3,242,2,Si,No,No,No,Si
C0195,Masculino,26-35,San Miguel,Diamante,9665,11,PagoPrestamos,11,30,36,Media,10,2,91,3,Si,Si,No,No,No
C0196,Masculino,26-35,Ahuachapan,Oro,4217,55,PagoPrestamos,14,50,22,Ninguna,7,1,197,1,Si,Si,No,Si,No
C0197,Femenino,60+,Soyapango,Plata,104,14,PagoPrestamos,17,16,57,Baja,9,5,157,2,Si,Si,No,No,Si
C0198,Femenino,60+,Ahuachapan,Plata,544,22,PagoPrestamos,1,9,87,Baja,3,3,115,6,Si,Si,Si,Si,Si
C0199,Masculino,36-45,San Salvador,Plata,755,14,Mixto,27,35,159,Alta,0,0,25,6,Si,No,No,No,No
C0200,Masculino,60+,Santa Tecla,Plata,256,13,Mixto,17,44,161,Baja,4,0,319,5,Si,No,Si,Si,Si
C0201,Femenino,18-25,Santa Ana,Plata,723,38,PagoServicios,2,17,133,Baja,8,1,255,2,No,No,Si,Si,Si
C0202,Masculino,18-25,Santa Ana,Oro,3024,33,Mixto,8,6,130,Alta,7,0,152,3,No,Si,Si,Si,No
C0203,Masculino,36-45,Mejicanos,Oro,2745,18,Mixto,21,8,24,Alta,2,0,169,3,No,No,Si,No,No
C0204,Femenino,26-35,Santa Ana,Plata,567,22,Transferencias,5,25,176,Ninguna,0,3,82,1,No,No,No,Si,Si
C0205,Femenino,36-45,Ahuachapan,Plata,800,53,PagoPrestamos,2,47,33,Ninguna,1,3,134,6,No,Si,Si,No,Si
C0206,Masculino,46-60,Soyapango,Plata,779,2,Mixto,30,25,38,Alta,2,4,259,4,No,Si,Si,No,No
C0207,Femenino,26-35,Mejicanos,Diamante,6825,11,PagoPrestamos,15,36,164,Ninguna,9,3,230,1,No,No,No,Si,No
C0208,Femenino,18-25,Santa Ana,Plata,136,72,PagoServicios,21,1,23,Baja,10,4,234,3,No,Si,Si,No,No
