registro_id,campanas_marketing,estacionalidad,tasa_interes_ofertada,indice_competencia,indice_macroeconomico,depositos_historicos_promedio,nuevos_clientes_mes,usuarios_activos_app,ingresos_mensuales_depositos
R0090,4,Septiembre,1.57,5.4,95.2,379242,4142,5201,74592.66
R0091,5,Junio,2.99,7.3,114.2,71323,3293,5800,49898.84
R0092,16,Julio,2.17,3.3,111.5,203036,1482,13453,47460.78
R0093,2,Julio,6.82,6.9,96.9,392935,3628,30319,84789.5
R0094,13,Enero,2.11,3.7,100.5,207354,2772,25102,63532.92
R0095,2,Junio,5.44,2.1,96.7,272189,2682,3160,62957.12
R0096,9,Junio,6.07,2.4,106.3,199109,1904,36021,61783.02
R0097,19,Agosto,6.95,2.9,84.4,259490,4622,15525,87864.7
R0098,5,Abril,4.51,8.1,98.6,244318,3844,18673,73578.34
R0099,9,Febrero,5.73,8.8,129.0,485251,2688,26085,94310.58
R0100,18,Octubre,4.95,3.1,73.4,374989,3459,34373,90307.02
R0101,19,Mayo,5.45,8.0,80.5,282772,1995,46712,73051.36
R0102,2,Octubre,4.01,1.6,97.9,341703,1154,12025,59161.74
R0103,18,Marzo,2.41,9.7,88.3,90993,1363,30765,39450.94
R0104,19,Abril,5.49,2.8,81.5,321471,452,21256,56304.48
R0105,19,Agosto,1.67,2.4,90.0,359076,1371,22350,58922.08
R0106,3,Abril,1.77,2.9,80.5,252132,3614,12274,60878.76
R0107,17,Septiembre,1.83,6.9,109.3,227291,1326,16565,49617.78
R0108,5,Agosto,6.47,6.2,114.3,21820,4043,21376,64871.4
R0109,13,Diciembre,5.41,9.2,78.6,129971,2502,49759,63546.38
R0110,16,Marzo,7.93,6.3,126.6,113463,1351,35696,57412.84
R0111,7,Agosto,7.33,2.1,88.2,102912,183,33692,45500.56
R0112,7,Septiembre,5.65,3.1,107.2,492136,688,18580,72182.88
R0113,17,Mayo,3.23,9.7,107.0,109686,122,44264,35627.08
R0114,13,Septiembre,3.47,5.4,81.1,179448,4184,5721,67136.14
R0115,17,Mayo,2.12,5.1,71.5,148970,2787,9339,52317.3
R0116,14,Mayo,2.26,5.5,129.5,205426,1069,16124,49953.28
R0117,8,Mayo,5.23,1.8,70.6,384171,2890,25522,82512.28
R0118,14,Julio,2.48,3.2,108.9,184241,1745,48259,64391.98
R0119,4,Noviembre,5.06,7.6,95.7,207970,1368,17932,53621.2
R0120,11,Julio,4.97,4.9,109.1,380591,1942,32115,75668.78
R0121,19,Abril,2.51,6.4,96.7,383952,2674,47613,77845.06
R0122,20,Agosto,3.69,9.8,73.2,21981,2175,9734,35081.68
R0123,5,Agosto,2.68,7.9,124.8,136853,4397,9211,62242.54
R0124,20,Mayo,6.59,5.9,73.4,305323,3485,18016,79575.64
R0125,4,Febrero,3.01,7.9,130.0,168427,805,25014,41657.36
R0126,13,Mayo,7.61,5.1,114.6,334609,379,4629,57237.42
R0127,4,Agosto,6.5,3.1,101.1,31351,3109,9602,51084.68
R0128,7,Enero,5.98,1.6,100.6,274311,3984,36227,91285.98
R0129,9,Noviembre,7.56,3.9,93.5,339139,1678,34841,73853.42
R0130,6,Enero,5.81,5.7,81.6,463173,2501,19326,83326.64
R0131,9,Marzo,5.0,4.5,77.6,90021,680,25387,36480.78
R0132,11,Febrero,5.51,8.7,112.7,20843,3080,41246,63033.24
R0133,1,Noviembre,5.55,9.6,116.4,187760,920,12225,41745.3
R0134,9,Noviembre,4.18,5.0,107.5,116261,4873,22664,73873.08
R0135,15,Octubre,6.06,7.1,124.7,264575,3073,34380,85290.0
R0136,11,Marzo,4.47,5.7,108.7,85641,3612,49521,66263.58
R0137,11,Julio,5.92,6.8,82.6,23184,1766,43636,46371.52
R0138,5,Octubre,2.33,3.2,78.2,315275,4258,26066,80894.8
R0139,6,Enero,1.92,9.7,105.6,380123,1909,44786,67576.64
R0140,7,Enero,7.11,4.1,82.2,215334,3304,37854,72612.92
R0141,17,Mayo,5.72,4.4,127.2,104962,4769,28748,79766.36
R0142,10,Abril,3.83,7.5,105.0,29612,1566,29667,41138.06
R0143,14,Diciembre,2.21,5.5,107.5,374367,517,27307,54832.46
R0144,5,Diciembre,7.69,2.2,108.8,471618,2143,16862,84648.04
R0145,7,Agosto,1.65,1.6,83.0,182795,4577,10037,65509.7
R0146,15,Diciembre,4.61,9.9,107.3,70274,3513,8138,56720.32
R0147,2,Noviembre,6.33,8.6,109.7,47890,1218,30563,46356.1
R0148,17,Abril,6.84,2.3,83.4,96019,747,18417,44162.62
R0149,3,Abril,3.03,7.1,92.4,200220,996,16667,44729.7
R0150,9,Enero,6.72,7.3,112.5,51346,4310,43697,77893.78
R0151,12,Abril,3.89,4.0,98.0,334117,1764,37418,73185.76
R0152,15,Enero,1.98,7.9,120.2,62863,3929,26608,58877.44
R0153,16,Diciembre,4.94,7.6,125.1,390136,1718,23739,72161.58
R0154,4,Diciembre,7.07,6.1,107.4,313622,2528,18022,69095.36
R0155,14,Enero,7.12,3.5,100.1,147277,3416,44629,80963.86
R0156,10,Febrero,2.32,7.0,117.0,335810,4449,39982,90335.4
R0157,17,Diciembre,5.15,3.9,99.9,347009,4762,19929,92385.42
R0158,6,Abril,6.59,5.1,74.3,257041,2082,30196,66459.08
R0159,7,Diciembre,4.03,3.9,115.5,289722,2352,44834,79592.96
R0160,18,Septiembre,6.27,7.5,76.5,368081,1093,10096,63806.28
R0161,13,Marzo,7.78,9.9,113.4,73647,2295,10180,50298.76
R0162,2,Febrero,5.48,8.5,126.0,187140,1171,21701,52543.5
R0163,9,Febrero,3.11,9.8,104.0,38307,4346,26777,60410.66
R0164,13,Noviembre,1.73,8.8,83.4,252073,4485,15111,73278.14
R0165,2,Abril,2.92,7.1,100.7,368876,2512,9613,65496.98
R0166,5,Mayo,2.03,4.2,84.1,392578,3727,11407,71827.34
R0167,9,Septiembre,5.51,8.7,83.3,238503,1451,20410,53000.24
R0168,9,Enero,6.22,3.1,128.3,241796,1898,1007,57153.78
R0169,11,Mayo,6.97,2.3,129.2,478238,4755,5210,105220.04
R0170,14,Marzo,1.64,6.0,77.4,103361,4584,36904,71304.08
R0171,16,Enero,1.88,1.8,97.9,261205,4364,34541,84918.7
R0172,5,Diciembre,4.24,5.4,71.5,373414,2161,14927,66607.22
R0173,19,Noviembre,3.73,5.5,71.1,105289,1469,14111,40342.42
R0174,5,Agosto,1.62,8.6,88.8,270592,4450,31140,75024.36
R0175,4,Febrero,6.5,8.2,98.3,180558,669,14415,43957.14
R0176,0,Abril,3.43,9.6,109.6,28630,4945,32319,66591.1
R0177,7,Abril,7.06,2.1,103.1,207434,2883,7800,65474.72
R0178,6,Enero,2.93,8.0,108.5,434201,4399,49717,97334.18
R0179,5,Mayo,4.18,7.8,114.8,108104,4838,7753,61851.22
R0180,9,Septiembre,3.19,7.0,70.9,359609,3261,27665,79171.22
R0181,11,Octubre,3.52,5.2,115.9,269219,3227,10996,67972.32
R0182,2,Julio,5.87,4.3,124.1,38194,93,27647,32886.62
R0183,19,Noviembre,7.53,1.9,88.6,201914,4876,18423,92650.02
R0184,5,Mayo,4.98,5.7,129.9,297895,373,20742,54557.2
R0185,9,Julio,1.69,1.6,73.6,392278,748,18021,51959.54
R0186,17,Abril,1.78,9.7,129.7,276381,3815,34975,75082.98
R0187,4,Mayo,3.22,4.0,94.9,337272,1527,37589,63977.46
R0188,6,Octubre,4.48,4.7,71.2,493385,2264,28227,84050.9
R0189,1,Junio,3.35,7.4,81.8,80476,3045,46479,56488.78
R0190,11,Junio,7.12,9.9,122.2,394537,433,8592,65498.56
R0191,5,Junio,3.15,5.6,90.1,359572,2097,31964,68621.96
R0192,17,Septiembre,7.21,3.0,125.0,370434,4089,41219,105538.42
R0193,13,Diciembre,3.81,5.4,121.2,317404,879,25840,65132.32
R0194,4,Septiembre,7.14,9.6,124.8,45993,2294,19813,47013.34
R0195,3,Marzo,7.74,4.2,127.7,339217,3009,47167,88545.46
R0196,20,Noviembre,7.05,4.2,96.2,495238,3586,4583,98182.94
R0197,5,Septiembre,7.42,3.2,129.5,284214,1360,12767,61111.22
R0198,20,Diciembre,1.53,9.6,129.3,418121,1023,17098,63854.08
R0199,1,Septiembre,6.24,9.1,98.7,209832,2875,13065,60934.06
R0200,1,Marzo,4.29,3.1,101.1,436260,2283,41048,79475.2
R0201,20,Septiembre,1.94,6.0,106.9,193858,1314,45421,58960.94
R0202,16,Julio,4.45,1.5,73.9,97135,196,26513,35222.7
R0203,6,Septiembre,6.43,8.3,123.0,325046,496,27266,62849.48
R0204,17,Agosto,4.65,9.8,78.0,264707,1971,8267,59356.66
R0205,13,Junio,4.76,4.4,91.1,195570,889,42980,51329.6
R0206,12,Diciembre,2.04,5.7,102.3,176214,4066,38066,69249.92
R0207,17,Junio,7.34,2.7,94.4,388231,3128,48972,100057.08
R0208,16,Mayo,3.51,7.9,124.9,277023,4013,15788,83249.24
R0209,15,Junio,5.79,1.7,88.9,116175,672,14882,46828.6
R0210,10,Octubre,7.55,10.0,125.7,233913,358,32296,53461.84
R0211,14,Junio,1.9,5.1,88.5,218617,4281,9915,69025.86
R0212,5,Mayo,5.63,2.2,121.5,401847,1296,38187,74557.86
R0213,11,Junio,4.85,2.7,106.9,454099,4090,21253,96323.82
R0214,17,Febrero,3.4,3.3,115.7,206802,2277,38892,64168.76
R0215,3,Febrero,2.95,5.2,117.9,438165,1939,9426,71177.0
R0216,20,Noviembre,5.52,9.2,89.2,71694,2424,4541,40880.82
R0217,17,Abril,2.62,7.0,103.6,388939,3106,24337,84234.22
R0218,10,Julio,5.56,3.4,74.1,419613,3518,20427,82676.14
R0219,6,Noviembre,6.71,4.8,90.4,207637,1130,10151,47558.26
R0220,19,Junio,3.51,9.8,94.8,286948,2137,37430,70764.84
R0221,20,Septiembre,7.45,3.3,92.0,472858,4397,16836,101058.44
R0222,11,Noviembre,1.62,8.2,97.4,88170,299,5418,19736.0
R0223,6,Abril,6.15,2.4,118.5,402580,1953,36113,87044.3
R0224,1,Enero,5.41,5.7,77.8,362235,962,26823,64751.7
R0225,7,Octubre,2.79,2.7,72.2,48899,3944,42780,62902.92
R0226,7,Diciembre,6.02,7.0,115.3,444640,3462,25027,92802.3
R0227,19,Enero,1.89,1.2,122.8,487262,2329,37888,94825.36
R0228,15,Mayo,1.73,5.3,105.9,288868,2733,45999,75893.14
R0229,0,Junio,3.86,5.1,103.1,452477,1083,3027,63231.26
R0230,0,Marzo,7.81,5.0,98.6,351219,3785,42555,96936.02
R0231,5,Julio,5.61,4.5,123.1,201930,3938,35973,82360.3
R0232,10,Junio,6.15,3.6,101.7,179978,4515,21902,83898.84
R0233,8,Noviembre,3.98,2.8,103.8,321772,291,49217,60528.86
R0234,10,Febrero,6.56,8.1,112.5,453746,719,20566,70638.48
R0235,18,Febrero,3.2,9.8,79.5,291431,2341,24482,57401.08
R0236,15,Mayo,7.9,6.0,127.9,85909,3400,49205,73867.22
R0237,1,Diciembre,7.32,4.7,75.2,336792,2282,11655,65057.86
R0238,18,Abril,7.98,5.3,111.7,419245,193,1164,66739.8
R0239,19,Junio,4.68,2.0,96.8,122832,2707,16734,60268.76
R0240,2,Noviembre,7.57,6.4,96.1,397131,1926,18289,71735.18
R0241,3,Junio,4.77,3.4,106.1,158832,1901,21832,50555.16
R0242,4,Agosto,6.04,9.5,78.7,39558,4831,27327,60969.74
R0243,15,Febrero,5.69,7.7,84.8,257039,3124,5825,62271.62
R0244,6,Octubre,3.4,4.6,102.9,209936,3822,32854,78490.08
R0245,15,Abril,4.27,8.0,113.2,238578,3967,5867,73445.34
R0246,15,Mayo,2.93,7.4,108.5,255681,4303,33499,81692.18
R0247,0,Agosto,4.95,5.6,99.3,307465,950,22858,57141.6
R0248,2,Octubre,3.2,1.5,110.5,67954,2580,17006,47964.12
R0249,17,Febrero,2.45,9.3,73.3,418636,1715,49076,75463.68
R0250,20,Febrero,4.49,8.8,119.1,494972,3080,29886,92260.56
R0251,2,Febrero,3.02,7.5,114.2,399302,1447,1347,57726.26
R0252,3,Abril,3.54,3.6,129.4,58843,931,15099,41692.14
R0253,10,Diciembre,4.07,6.5,129.4,114380,722,20391,38720.7
R0254,7,Octubre,2.98,1.7,108.2,31908,3514,25601,59204.94
R0255,4,Julio,3.37,4.6,90.4,117894,4090,13111,63319.82
R0256,8,Julio,6.45,9.8,73.5,462601,3099,44959,95562.78
R0257,8,Mayo,4.08,9.6,124.9,138949,1008,26411,40455.22
R0258,4,Septiembre,3.12,5.3,105.4,262984,2836,18241,67890.02
R0259,8,Abril,7.36,5.0,120.1,258065,4839,43030,95137.2
R0260,8,Octubre,6.96,2.1,104.4,128684,4359,40031,81614.02
R0261,1,Octubre,6.44,9.4,83.8,231126,658,48712,56564.68
R0262,0,Octubre,6.74,5.8,113.2,181544,1190,44673,58304.42
R0263,17,Enero,6.17,4.2,89.4,10487,3429,17805,56277.46
R0264,11,Abril,4.73,6.2,86.6,331997,1229,10340,55975.76
R0265,3,Febrero,4.27,7.3,121.5,298475,2619,11828,65310.4
R0266,18,Abril,5.66,7.5,106.5,399814,162,38925,62382.62
R0267,20,Abril,6.97,4.8,90.8,90837,3672,5947,63404.06
R0268,4,Septiembre,6.01,9.8,102.8,180044,3418,47609,72354.22
R0269,13,Noviembre,6.44,9.5,84.8,342899,898,1628,53731.32
R0270,16,Febrero,1.9,5.3,85.2,17259,567,41835,28816.22
R0271,20,Marzo,5.8,4.6,79.7,469541,3329,18626,96560.08
R0272,5,Septiembre,3.85,3.9,102.3,425506,144,43859,63355.18
R0273,11,Enero,7.13,8.1,121.7,444215,2425,9565,78353.7
R0274,12,Junio,2.88,2.2,82.4,381153,4956,34875,98417.74
R0275,17,Enero,6.22,7.9,126.5,386216,407,29130,64909.28
R0276,15,Enero,2.94,9.2,113.2,300626,1895,7224,57166.28
R0277,14,Mayo,6.57,2.6,105.5,431984,2717,42777,94796.82
R0278,5,Octubre,3.19,9.8,71.3,396190,3847,7182,71671.8
R0279,15,Febrero,1.68,6.7,116.7,285283,2778,29257,68060.74
R0280,5,Septiembre,1.8,2.2,83.3,388674,1344,2520,58976.92
R0281,20,Diciembre,2.35,3.0,105.1,133227,2073,41693,55739.06
R0282,16,Noviembre,3.39,1.3,128.2,375838,975,40755,74465.54
R0283,0,Marzo,3.23,2.5,83.5,245119,3501,32511,69945.82
R0284,17,Noviembre,2.13,5.3,92.2,313356,3197,8102,64242.08
R0285,8,Diciembre,4.83,8.1,112.8,13928,3406,12905,49625.74
R0286,7,Octubre,2.52,5.5,117.5,225057,4901,47477,87812.66
R0287,11,Febrero,2.28,4.0,75.9,479075,2407,21955,75062.5
R0288,4,Octubre,7.64,8.1,110.2,418141,2384,30264,82291.48
R0289,13,Septiembre,1.65,5.0,113.2,295289,3303,32512,72200.72
R0290,14,Enero,4.42,9.4,77.4,221736,522,37781,46761.18
R0291,2,Abril,4.79,2.3,105.4,258146,1128,37957,64742.78
R0292,19,Noviembre,4.15,2.2,89.2,362034,1995,28005,78060.22
R0293,9,Octubre,5.22,2.2,80.5,117080,1798,10925,43124.9
R0294,2,Enero,4.41,9.4,100.2,224340,1829,41368,61939.6
R0295,6,Septiembre,4.22,10.0,112.6,35247,294,5977,23651.86
R0296,11,Diciembre,4.74,2.4,116.9,449902,1552,26230,75782.16
R0297,17,Junio,2.74,6.0,126.6,221997,2874,25564,73327.96
R0298,0,Febrero,4.87,5.5,126.4,443955,2003,25798,79234.8
R0299,9,Marzo,4.08,8.8,125.4,373272,1782,21456,68952.56
R0300,9,Junio,6.65,5.9,70.3,27592,356,38357,30900.46
R0301,20,Febrero,6.11,5.7,92.1,313788,1180,35038,64358.44
R0302,4,Junio,7.43,1.4,83.0,401788,1877,39067,82065.14
R0303,14,Enero,5.87,9.8,99.7,43051,1202,27303,37077.98
R0304,19,Octubre,6.77,7.8,120.2,194761,795,35614,60267.08
R0305,8,Julio,2.29,7.8,123.4,221650,1563,10939,51735.7
R0306,13,Septiembre,6.94,1.8,88.3,229801,3196,33057,80189.18
R0307,19,Junio,6.41,3.9,94.2,280560,1966,42743,74062.7
R0308,0,Enero,1.9,9.9,82.0,490823,3337,32286,82855.64
R0309,13,Junio,3.24,7.7,102.0,12248,4995,16383,59232.74
R0310,19,Marzo,2.31,5.0,118.0,12529,314,10920,26339.32
R0311,17,Julio,5.75,1.8,112.7,437698,4586,33809,113463.54
R0312,11,Agosto,2.27,8.6,116.8,226238,3450,18670,69532.04
R0313,20,Septiembre,7.38,1.4,107.6,384382,1658,33449,80041.26
R0314,16,Noviembre,3.92,3.5,94.5,58750,3516,23301,56461.3
R0315,4,Agosto,6.49,9.4,109.9,18113,2540,31167,50512.14
R0316,15,Octubre,5.9,8.9,110.8,386719,4289,46008,98256.92
R0317,20,Febrero,1.68,9.7,91.8,170897,3330,15703,55805.66
R0318,12,Febrero,2.27,3.9,95.7,112654,3668,43096,65433.12
R0319,5,Septiembre,2.55,6.5,129.3,21287,4613,46637,68236.06
R0320,2,Diciembre,3.18,9.4,76.9,341655,2441,44864,67771.6
R0321,7,Mayo,5.03,5.9,124.4,164503,92,44469,46481.94
R0322,16,Septiembre,5.91,8.9,83.5,119900,2351,28221,50906.3
R0323,14,Septiembre,3.52,6.0,110.9,20957,4805,22861,65026.86
R0324,12,Diciembre,6.07,1.6,109.8,237259,716,13068,55861.12
R0325,5,Octubre,1.68,1.2,73.1,72713,2261,18536,36934.84
R0326,14,Enero,6.83,5.0,109.2,222561,3163,1999,71124.58
R0327,6,Diciembre,2.09,4.8,120.1,277050,2659,22263,65311.9
R0328,10,Junio,3.45,2.3,118.1,183278,1175,3925,42687.74
R0329,0,Julio,6.24,6.1,70.8,374185,851,27152,55743.4
R0330,13,Marzo,4.97,4.5,98.1,383123,1850,49802,76552.44
R0331,3,Julio,1.6,3.2,94.1,148890,2788,31526,60291.0
R0332,7,Septiembre,4.1,9.1,94.6,252631,4967,41796,91441.28
R0333,14,Enero,2.53,2.6,71.4,248057,878,39115,52609.06
R0334,8,Octubre,5.28,8.5,129.2,366898,1721,8688,65425.24
R0335,20,Febrero,7.18,3.9,81.4,264741,2184,7141,68853.58
R0336,7,Julio,6.52,10.0,76.5,488223,4057,12113,89893.74
R0337,5,Enero,7.26,8.7,121.7,351397,1602,27713,73822.66
R0338,19,Octubre,5.84,7.0,81.5,312324,3181,37093,81088.82
R0339,15,Enero,3.89,5.5,108.0,161127,3860,21882,67642.76
R0340,4,Octubre,1.6,8.9,98.1,459526,2245,19684,72579.28
R0341,14,Enero,7.91,10.0,84.0,45231,1668,18543,41191.38
R0342,11,Julio,5.86,2.4,70.1,384279,2568,35436,82841.12
R0343,4,Enero,3.68,4.7,114.2,474202,2336,33620,81362.16
R0344,5,Noviembre,3.33,7.1,78.3,43560,2995,44299,51826.5
R0345,10,Marzo,2.7,9.6,93.4,175844,775,14920,34897.52
R0346,19,Abril,6.89,3.6,82.5,52448,4172,7898,61702.24
R0347,5,Julio,2.08,9.0,129.2,264055,1415,47356,63194.2
R0348,2,Octubre,6.55,4.8,87.3,375702,4937,30219,93759.86
R0349,17,Agosto,2.76,3.7,85.4,392695,4846,37588,96617.0
R0350,15,Mayo,1.97,9.2,97.7,324620,3724,24183,73146.5
R0351,10,Julio,3.29,7.0,80.3,169860,3483,5718,58943.2
R0352,9,Febrero,6.58,3.5,74.4,172086,407,19593,45128.78
R0353,20,Noviembre,3.03,6.2,89.0,282350,964,11120,54011.0
R0354,7,Marzo,5.98,1.6,113.5,208512,1762,27775,61866.46
R0355,3,Enero,4.27,6.4,80.3,469750,1035,26031,69821.3
R0356,3,Julio,5.75,1.6,95.1,324777,3820,19956,83106.96
R0357,15,Abril,4.56,4.2,102.5,291327,4564,46163,91904.06
R0358,9,Enero,1.61,6.3,108.1,435356,1912,20167,74282.58
R0359,19,Septiembre,3.77,6.2,72.3,353632,4794,18665,91278.06
R0360,13,Enero,4.79,7.4,87.0,425497,4878,30111,95445.06
R0361,17,Enero,4.45,5.4,73.6,322437,671,13467,55565.06
R0362,0,Enero,3.7,4.4,103.0,375088,2327,15423,68321.94
R0363,6,Julio,5.31,5.2,110.7,111181,1245,34312,50412.08
R0364,12,Diciembre,7.97,6.4,115.1,313524,2854,18512,79006.52
R0365,5,Diciembre,3.5,4.4,101.5,261106,457,24764,52269.68
R0366,15,Agosto,1.58,7.4,106.5,234920,461,1974,40392.8
R0367,13,Febrero,7.44,3.2,87.1,119066,3429,3420,58659.28
R0368,2,Abril,3.55,7.0,101.9,261447,4689,43701,85694.06
R0369,6,Junio,4.45,4.4,128.9,415625,2016,25180,83046.0
R0370,18,Septiembre,7.59,7.8,108.5,414055,1533,29686,78504.2
R0371,5,Septiembre,2.59,1.7,70.3,149804,1697,1232,36546.92
R0372,9,Enero,6.59,5.4,73.7,119657,4629,2091,68734.86
R0373,10,Noviembre,1.92,8.4,115.0,15575,4082,35978,57997.4
R0374,2,Febrero,2.78,4.0,102.5,393114,4869,13596,93520.92
R0375,7,Abril,2.85,3.6,125.1,130713,4456,45703,77492.94
R0376,17,Agosto,4.31,6.1,76.1,324032,4188,13529,84235.26
